ID,Group,s__Acetatifactor_muris,s__Acutalibacter_muris,s__Adlercreutzia_equolifaciens,s__Akkermansia_muciniphila,s__Anaerotruncus_sp_G3_2012,s__Asaccharobacter_celatus,s__Bacteroides_thetaiotaomicron,s__Clostridium_cocleatum,s__Clostridium_sp_ASF502,s__Dorea_sp_5_2,s__Dubosiella_newyorkensis,s__Enterococcus_faecalis,s__Enterorhabdus_caecimuris,s__Firmicutes_bacterium_ASF500,s__Lachnospiraceae_bacterium_28_4,s__Lachnospiraceae_bacterium_3_1,s__Lachnospiraceae_bacterium_3_2,s__Lachnospiraceae_bacterium_A2,s__Lachnospiraceae_bacterium_A4,s__Lachnospiraceae_bacterium_COE1,s__Lachnospiraceae_bacterium_M18_1,s__Lactobacillus_johnsonii,s__Lactococcus_lactis,s__Oscillibacter_sp_1_3,s__Parasutterella_excrementihominis,s__Proteobacteria_bacterium_CAG_139,s__Romboutsia_ilealis,s__Ruthenibacterium_lactatiformans,s__Staphylococcus_xylosus,s__Streptococcus_thermophilus,s__Terrisporobacter_othiniensis
S131_L007_all,B,0.12153,26.09776,0.0,2.42808,5.67724,0.0,8.1241,0.0,1.7765,1.02355,0.10769,0.0,0.05111,0.01762,0.0,0.02055,0.0,9.80555,0.0,21.71289,2.18075,20.56891,0.0,0.28618000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S130_L007_all,B,1.86964,4.44837,0.0,4.62402,0.99862,0.0,0.8577,0.0,0.36765,0.03293,59.1947,0.0,0.02679,0.00387,0.0,0.0,0.01165,1.33041,0.0,9.02113,2.71703,13.90064,0.0,0.4361,0.15875999999999998,0.0,0.0,0.0,0.0,0.0,0.0
S129_L007_all,B,0.0,25.29024,0.05723,0.11183,2.16772,0.01341,3.26878,0.0,1.03731,0.16049000000000002,21.9828,0.0,0.19315,0.030330000000000006,0.0,0.24004,0.0,3.33843,0.56394,0.0,23.94751,17.28965,0.0,0.13063,0.17653,0.0,0.0,0.0,0.0,0.0,0.0
S125_L007_all,A,0.0,4.20726,0.0,11.53255,1.11366,0.0,4.57335,0.0,0.13943,0.14681,23.56495,0.0,0.00305,0.0,0.0,0.0,0.0,33.61546,3.20899,3.55161,0.01917,13.341120000000002,0.0,0.01913,0.96346,0.0,0.0,0.0,0.0,0.0,0.0
S124_L007_all,A,0.00404,1.26012,0.0,0.47961,2.05819,0.0,5.7693400000000015,0.0,0.14007999999999998,0.316,12.34183,0.0,0.0,0.0,0.0,0.0,0.0,53.61704,12.08349,8.48669,0.0,2.9811,0.0,0.21168,0.2508,0.0,0.0,0.0,0.0,0.0,0.0
S133_L007_all,B,0.72185,12.85203,0.0,5.52413,1.68494,0.0,6.70516,0.0,0.70602,0.41368,0.90522,0.0,0.03961,0.0,1.03564,0.005379999999999999,0.07416,67.99239,0.05998,0.0,0.09791,0.34366,0.09555,0.03447,0.7082,0.0,0.0,0.0,0.0,0.0,0.0
S46_L001_all,B,0.13739,0.92259,0.0,0.11109,0.95764,0.0,4.24868,0.0,1.04883,0.23671,0.5652699999999999,0.0,0.04304,0.0,0.98818,0.0,0.51234,89.56175,0.0,0.0,0.05475,0.24403,0.0,0.0,0.36771,0.0,0.0,0.0,0.0,0.0,0.0
S132_L007_all,B,0.09639,2.09271,0.0,32.79137,0.87039,0.0,4.52055,0.0,1.32343,0.2705,8.77594,0.0,0.02177,0.0,0.17799,0.0,0.63359,43.67979,0.0,0.0,0.18149,1.87222,0.0,0.0,2.65879,0.033089999999999994,0.0,0.0,0.0,0.0,0.0
S123_L007_all,A,0.0,6.558039999999999,0.0,4.10987,0.14089000000000002,0.01653,5.82154,0.0,0.05119,0.1629,52.68258,0.0,0.006,0.0,0.0,0.0,0.0,15.11636,4.41133,3.2475400000000003,0.03052,6.8795600000000015,0.0,0.02614,0.7390100000000001,0.0,0.0,0.0,0.0,0.0,0.0
S128_L007_all,A,0.05235,8.71458,0.03467,2.86401,0.11332,0.04247,1.70573,0.0,0.12582000000000002,1.76521,74.16894,0.0,0.04566,0.0,0.0,0.0,0.0,6.32814,0.00223,0.0,0.1691,3.70131,0.0,0.0,0.16645,0.0,0.0,0.0,0.0,0.0,0.0
S127_L007_all,A,0.02081,10.19557,0.02685,10.42067,0.10218,0.05753,7.18705,0.0,0.50055,5.05121,61.30398,0.0,0.06824,0.0,0.00242,0.0,0.0469,0.12427,0.05991000000000001,0.0,2.60107,1.94867,0.0,0.0,0.28212,0.0,0.0,0.0,0.0,0.0,0.0
S126_L007_all,A,1.29259,7.25414,0.01232,0.00809,0.4963,0.01553,3.07592,0.0,0.24472,3.11148,48.37036,0.0,0.0348,0.0,0.13374,0.00253,0.0,30.34979,1.71761,0.0,0.62744,2.01743,0.01113,0.01822,1.20586,0.0,0.0,0.0,0.0,0.0,0.0
